MX.5P_up,Fournier Coeff,MEAN P,S DEV P,SKEW P,P(W/W),P(W/D),Elev,Lat,Coastal Prox,Month
1.01,9.16,2.79,4.14,2.53,0.53,0.11,695.6,34.99,122.79,1
1.19,9.16,2.86,4.63,1.99,0.25,0.11,695.6,34.99,122.79,2
0.41,9.16,3.49,3.78,1.01,0.12,0.03,695.6,34.99,122.79,3
0.34,9.16,2.42,1.98,1.08,0.17,0.02,695.6,34.99,122.79,4
0.18,9.16,1.91,0.9,0,0,0.01,695.6,34.99,122.79,5
0.83,9.16,5.71,7.36,0,0,0.01,695.6,34.99,122.79,7
0.51,9.16,5.8,7.93,0.65,0.5,0.01,695.6,34.99,122.79,10
0.35,9.16,0.99,0.84,0.25,0.17,0.02,695.6,34.99,122.79,11
0.5,9.16,2.46,2.29,1.23,0.33,0.04,695.6,34.99,122.79,12
0.82,7.45,3.05,3.52,2.07,0.36,0.07,584.59,34.85,171.21,1
1.04,7.45,3.65,5.7,3.05,0.17,0.08,584.59,34.85,171.21,2
0.61,7.45,2.07,2.8,1.51,0.07,0.04,584.59,34.85,171.21,3
0.46,7.45,2.68,2.01,0.46,0.2,0.03,584.59,34.85,171.21,4
0.21,7.45,1.69,2.82,1.53,0.17,0.02,584.59,34.85,171.21,5
0.59,7.45,1.75,1.94,1.79,0.4,0.04,584.59,34.85,171.21,7
1.11,7.45,4.13,5.96,1.75,0.19,0.04,584.59,34.85,171.21,8
0.62,7.45,3.84,4.43,1.12,0.38,0.02,584.59,34.85,171.21,9
0.51,7.45,3.45,4.82,1.69,0.47,0.02,584.59,34.85,171.21,10
0.57,7.45,3.74,5.96,1.91,0.29,0.04,584.59,34.85,171.21,11
1.03,7.45,5.18,6.23,1.58,0.32,0.07,584.59,34.85,171.21,12
2.59,21.01,8.67,12.01,2.92,0.33,0.09,25.03,34.22,12,1
2.7,21.01,7.17,8.23,1.93,0.32,0.1,25.03,34.22,12,2
3.09,21.01,6.61,14.39,3.56,0.43,0.05,25.03,34.22,12,3
1.44,21.01,5.84,7.49,1.31,0.24,0.04,25.03,34.22,12,4
0.47,21.01,1.33,1.68,1.58,0.11,0.02,25.03,34.22,12,5
0.2,21.01,4.06,4.31,0,0,0.01,25.03,34.22,12,7
0.04,21.01,0.42,0.15,-0.58,0,0.01,25.03,34.22,12,8
0.2,21.01,1.74,3.51,1.63,0,0.02,25.03,34.22,12,9
0.49,21.01,3.48,4.92,1.48,0.21,0.03,25.03,34.22,12,10
1.75,21.01,5.17,5.96,1.33,0.22,0.07,25.03,34.22,12,11
3.07,21.01,5.77,8.69,3.13,0.27,0.12,25.03,34.22,12,12
1.27,10.75,5.18,8.09,3.24,0.46,0.06,120.34,33.62,206.79,1
0.94,10.75,3.99,6.08,2.14,0.23,0.08,120.34,33.62,206.79,2
0.77,10.75,6.58,6.54,0.68,0.33,0.01,120.34,33.62,206.79,3
0.09,10.75,1.23,1,0.96,0,0.02,120.34,33.62,206.79,4
0.3,10.75,2.87,3.77,1.29,0.4,0.02,120.34,33.62,206.79,5
0.15,10.75,0.64,0.54,0,0,0.01,120.34,33.62,206.79,6
1.89,10.75,6.84,10.04,2.42,0.35,0.04,120.34,33.62,206.79,7
1.59,10.75,2.48,3.01,1.33,0.21,0.06,120.34,33.62,206.79,8
0.45,10.75,1.72,1.77,1.35,0.3,0.05,120.34,33.62,206.79,9
0.92,10.75,2.32,2.36,0.81,0.41,0.03,120.34,33.62,206.79,10
0.62,10.75,3.02,4.82,2.03,0.47,0.03,120.34,33.62,206.79,11
1.99,10.75,5.47,7.47,2.11,0.36,0.07,120.34,33.62,206.79,12
